adjacent_to|adjacent_to|1|
adjectival_form_of|noun_form_of|1|
adjective|adjective|1|
affected_by|affects|1|
affects|affected_by|1|
analyzed_by|analyzes|1|
analyzes|analyzed_by|1|
assessed_for_effect_by|assesses_effect_of|1|
assesses_effect_of|assessed_for_effect_by|1|
associated_with|associated_with|1|
branch_of|has_branch|1|
brings_about|brought_about_by|1|
brought_about_by|brings_about|1|
carried_out_by|carries_out|1|
carries_out|carried_out_by|1|
caused_by|causes|1|
causes|caused_by|1|
chd|par|1|
classified_as|classifies|1|
classifies|classified_as|1|
clinically_associated_with|clinically_associated_with|1|
clinically_similar|clinically_similar|1|
co-occurs_with|co-occurs_with|1|
complicated_by|complicates|1|
complicates|complicated_by|1|
conceptual_part_of|has_conceptual_part|1|
conceptually_related_to|conceptually_related_to|1|
connected_to|connected_to|1|
consists_of|constitutes|1|
constitutes|consists_of|1|
contained_in|contains|1|
contains|contained_in|1|
ddx|ddx|1|
default_mapped_from|default_mapped_to|1|
default_mapped_to|default_mapped_from|1|
degree_of|has_degree|1|
derivative_of|has_derivative|1|
developmental_form_of|has_developmental_form|1|
diagnosed_by|diagnoses|1|
diagnoses|diagnosed_by|1|
disambiguates|is_disambiguated_by|1|
disrupted_by|disrupts|1|
disrupts|disrupted_by|1|
equivalent_to|equivalent_to|1|
evaluation_of|has_evaluation|1|
exhibited_by|exhibits|1|
exhibits|exhibited_by|1|
follows|precedes|1|
functionally_related_to|functionally_related_to|1|
has_branch|branch_of|1|
has_conceptual_part|conceptual_part_of|1|
has_degree|degree_of|1|
has_derivative|derivative_of|1|
has_developmental_form|developmental_form_of|1|
has_evaluation|evaluation_of|1|
has_ingredient|ingredient_of|1|
has_issue|issue_in|1|
has_location|location_of|1|
has_manifestation|manifestation_of|1|
has_measurement|measurement_of|1|
has_method|method_of|1|
has_occurrence|occurs_in|1|
has_part|part_of|1|
has_process|process_of|1|
has_property|property_of|1|
has_result|result_of|1|
has_tributary|tributary_of|1|
indicated_by|indicates|1|
indicates|indicated_by|1|
ingredient_of|has_ingredient|1|
interacts_with|interacts_with|1|
interconnected_by|interconnects|1|
interconnects|interconnected_by|1|
inverse_isa|isa|1|
is_disambiguated_by|disambiguates|1|
isa|inverse_isa|1|
issue_in|has_issue|1|
location_of|has_location|1|
managed_by|manages|1|
manages|managed_by|1|
manifestation_of|has_manifestation|1|
mapped_from|mapped_to|1|
mapped_to|mapped_from|1|
maps_from|maps_to|1|
maps_to|maps_from|1|
measured_by|measures|1|
measurement_of|has_measurement|1|
measures|measured_by|1|
method_of|has_method|1|
multiply_mapped_from|multiply_mapped_to|1|
multiply_mapped_to|multiply_mapped_from|1|
noun_form_of|adjectival_form_of|1|
occurs_in|has_occurrence|1|
par|chd|1|
part_of|has_part|1|
performed_by|performs|1|
performs|performed_by|1|
physically_related_to|physically_related_to|1|
practiced_by|practices|1|
practices|practiced_by|1|
precedes|follows|1|
prevented_by|prevents|1|
prevents|prevented_by|1|
process_of|has_process|1|
produced_by|produces|1|
produces|produced_by|1|
property_of|has_property|1|
result_of|has_result|1|
sampled_by|samples|1|
samples|sampled_by|1|
sib|sib|1|
similar|similar|1|
spatially_related_to|spatially_related_to|1|
ssc|ssc|1|
surrounded_by|surrounds|1|
surrounds|surrounded_by|1|
temporally_related_to|temporally_related_to|1|
traversed_by|traverses|1|
traverses|traversed_by|1|
treated_by|treats|1|
treats|treated_by|1|
tributary_of|has_tributary|1|
uniquely_mapped_from|uniquely_mapped_to|1|
uniquely_mapped_to|uniquely_mapped_from|1|
used_by|uses|1|
uses|used_by|1|
icd_asterisk|icd_asterisk|1|
icd_dagger|icd_dagger|1|
primary_mapped_to|primary_mapped_from|1|
primary_mapped_from|primary_mapped_to|1|
other_mapped_to|other_mapped_from|1|
other_mapped_from|other_mapped_to|1|
||1|
expressed_in_tissue|tissue_location_of|1|
closest_related_pdq_diagnosis|has_closest_related_pdq_diagnosis|1|
has_closest_related_pdq_diagnosis|closest_related_pdq_diagnosis|1|
tissue_location_of|expressed_in_tissue|1|
biochemical_function_of|has_biochemical_function|1|
has_biochemical_function|biochemical_function_of|1|
cellular_location_of|has_cellular_location|1|
has_cellular_location|cellular_location_of|1|
chemical_classification_of|has_chemical_classification|1|
has_chemical_classification|chemical_classification_of|1|
chromosomal_location_of|in_chromosomal_location|1|
in_chromosomal_location|chromosomal_location_of|1|
disease_associated_with_protein|malfunction_associated_with_disease|1|
malfunction_associated_with_disease|disease_associated_with_protein|1|
encodes_gene_product|encoded_by_gene|1|
encoded_by_gene|encodes_gene_product|1|
function_of_gene|gene_has_function|1|
gene_has_function|function_of_gene|1|
is_a_biomarker_type|inverse_is_a_biomarker_type|1|
inverse_is_a_biomarker_type|is_a_biomarker_type|1|
marked_by|biomarker_of|1|
biomarker_of|marked_by|1|
organism_contains|found_in_organism|1|
found_in_organism|organism_contains|1|
plays_role_in_biological_process|function_of_protein|1|
function_of_protein|plays_role_in_biological_process|1|
source_of_protein|organism_source|1|
organism_source|source_of_protein|1|
structural_domain_or_motif_of|has_structural_domain_or_motif|1|
has_structural_domain_or_motif|structural_domain_or_motif_of|1|
malfunction_of|has_malfunction_type|1|
has_malfunction_type|malfunction_of|1|
member_of_cluster|has_member|1|
has_member|member_of_cluster|1|
is_target|has_target|1|
has_target|is_target|1|
for_purpose_of|has_purpose|1|
has_purpose|for_purpose_of|1|
dose_form_of|has_dose_form|1|
has_dose_form|dose_form_of|1|
tradename_of|has_tradename|1|
has_tradename|tradename_of|1|
scd_of|has_scd|1|
has_scd|scd_of|1|
form_of|has_form|1|
has_form|form_of|1|
precise_ingredient_of|has_precise_ingredient|0|
has_precise_ingredient|precise_ingredient_of|0|
has_version|version_of|0|
version_of|has_version|0|
has_translation|translation_of|0|
translation_of|has_translation|0|
expected_outcome_of|has_expected_outcome|1|
has_expected_outcome|expected_outcome_of|1|
actual_outcome_of|has_actual_outcome|1|
has_actual_outcome|actual_outcome_of|1|
modifies|modified_by|1|
modified_by|modifies|1|
has_associated_morphology|associated_morphology_of|1|
is_a|inverse_is_a|1|
has_specimen|specimen_of|1|
has_specimen_source_morphology|specimen_source_morphology_of|1|
has_specimen_source_topography|specimen_source_topography_of|1|
has_specimen_source_identity|specimen_source_identity_of|1|
has_specimen_procedure|specimen_procedure_of|1|
has_active_ingredient|active_ingredient_of|1|
has_subject_of_information|subject_of_information_of|1|
may_be_a|inverse_may_be_a|1|
was_a|inverse_was_a|1|
same_as|same_as|1|
has_causative_agent|causative_agent_of|1|
has_associated_finding|associated_finding_of|1|
has_component|component_of|1|
has_onset|onset_of|1|
has_severity|severity_of|1|
has_episodicity|episodicity_of|1|
has_revision_status|revision_status_of|1|
has_access|access_of|1|
has_approach|approach_of|1|
has_priority|priority_of|1|
has_course|course_of|1|
has_laterality|laterality_of|1|
has_finding_site|finding_site_of|1|
has_direct_device|direct_device_of|1|
has_direct_morphology|direct_morphology_of|1|
has_direct_substance|direct_substance_of|1|
has_focus|focus_of|1|
has_intent|intent_of|1|
has_procedure_site|procedure_site_of|1|
has_definitional_manifestation|definitional_manifestation_of|1|
temporally_follows|temporally_followed_by|1|
has_indirect_morphology|indirect_morphology_of|1|
has_interpretation|interpretation_of|1|
interprets|is_interpreted_by|1|
has_associated_etiologic_finding|associated_etiologic_finding_of|1|
replaced_by|replaces|1|
moved_to|moved_from|1|
has_access_instrument|access_instrument_of|1|
has_recipient_category|recipient_category_of|1|
has_specimen_substance|specimen_substance_of|1|
has_pathological_process|pathological_process_of|1|
access_instrument_of|has_access_instrument|1|
access_of|has_access|1|
active_ingredient_of|has_active_ingredient|1|
approach_of|has_approach|1|
associated_etiologic_finding_of|has_associated_etiologic_finding|1|
